artist,genres
Alie-Keys,"['afro soul', 'gqom', 'afro house']"
Alina Baraz,"['2020s', 'alternative r&b', 'ambient pop', 'electronic', 'neo soul', 'neo-soul', 'pop', 'r&b', 'soul', 'trip hop']"
Aliocha Schneider,"['variété française', 'french pop']"
Alisha Chinai,"['bollywood', 'desi', 'hindi pop']"
Alisson Shore,"['pinoy hip hop', 'pinoy r&b', 'opm', 'p-pop', 'harana']"
All Night Chill Makers,[]
Alleh,[]
Allen,"['alternative pop', 'alternative rock', 'british', 'contemporary r&b', 'dance-pop', 'electropop', 'indie pop', 'indie rock', 'nepo baby', 'pop', 'ska', 'synthpop', 'uk']"
Alligatoah,"['german pop', 'german hip hop']"
Allyz,['gqom']
Alok,"['brazilian bass', 'electronic', 'slap house', 'electro house']"
Alonzo,['pop urbaine']
Alpha Wann,['hip hop']
Alphaville,['synthpop']
Alvaro Diaz,"['latin', 'reggaeton']"
Alvaro Soler,"['latin pop', 'pop']"
Alzate,"['ranchera', 'popular colombian music', 'vallenato']"
Amaarae,"['alté', 'afrobeats']"
Aman Jaji,['haryanvi pop']
Amanda Reifer,[]
Amani Kush,['reggae']
Amarabha Banerjee,[]
Amari,"['punjabi pop', 'punjabi hip hop']"
Amaru,[]
Amayellowbone,[]
Amaza,"['amapiano', 'gqom']"
Amazing Show,"['taiwanese indie', 'chinese indie', 'taiwanese pop', 'chinese rock', 'mandopop']"
AmbVsh,[]
Ambi Val,['noise']
Amble,[]
Ambrook Glacier,"['heavy metal', 'power metal']"
Amelia Moore,[]
Ami Faku,"['amapiano', 'afro soul', 'afropop', 'gqom', 'afro house']"
Amiel Sol,"['opm', 'harana', 'pinoy indie', 'kundiman']"
Amir Ameer,['indian indie']
Amir Eid,"['egyptian pop', 'arabic rap', 'khaleeji', 'egyptian hip hop']"
Amirchik,"['hip hop', 'pop', 'rap', 'russia', 'russian', 'russian hip hop', 'russian pop', 'russian rap']"
Amitabh Bhattacharya,"['bollywood', 'hindi pop', 'desi']"
Ammy Virk,"['bhangra', 'punjabi pop']"
Amr Diab,"['egyptian pop', 'khaleeji']"
An,"['v-pop', 'vietnamese hip hop']"
An Coong,['v-pop']
An Vũ,"['v-pop', 'vietnamese lo-fi']"
An-Marlen,['pop']
Ana Castela,"['agronejo', 'sertanejo', 'sertanejo universitário', 'piseiro']"
Ana Laura Lopes,['brazilian pop']
Anand Aravindakshan,"['kollywood', 'tamil pop']"
Anantha Sreeram,"['tollywood', 'telugu pop']"
Anatomy Rabbit,"['thai pop', 't-pop', 'thai indie pop']"
Anaïs Cardot,[]
Anderson & Vei da Pisadinha,"['piseiro', 'forró', 'arrocha', 'brega', 'seresta']"
Anderson .Paak,"['alternative', 'alternative hip hop', 'alternative r&b', 'contemporary r&b', 'hip hop', 'r&b', 'soul']"
Andi Rianto,['indonesian pop']
Andiez,"['v-pop', 'vietnamese lo-fi', 'vietnam indie']"
Andmesh,"['indonesian pop', 'malay', 'malay pop']"
Andree,"['vietnamese hip hop', 'v-pop', 'vinahouse']"
Andree Right Hand,"['vietnamese hip hop', 'v-pop', 'vinahouse']"
Andrezin Araújo,"['piseiro', 'forró', 'arrocha', 'seresta']"
Andy Keys,"['gqom', 'deep house', 'amapiano', 'afro house']"
Andy Vu,['v-pop']
Anfang,"['v-pop', 'vietnamese lo-fi']"
Angelina Mango,"['europop', 'eurovision 2024 artists']"
Anggi Marito,"['indonesian pop', 'malay']"
Anggis Devaki,['indonesian pop']
Angèle,"['french pop', 'variété française', 'chanson']"
Anh Khang,"['v-pop', 'vietnam indie']"
Anh Khơ Me,['vietnamese hip hop']
Anh Mac,"['blues', 'blues rock', 'british', 'british blues', 'english', 'pop', 'pop rock', 'psychedelic rock', 'rock', 'soft rock']"
Anh Phan,"['vietnamese hip hop', 'v-pop']"
Anh Quân Idol,"['vinahouse', 'vietnamese lo-fi', 'v-pop', 'lo-fi']"
Anh Tú,"['v-pop', 'vietnamese hip hop']"
Anh Tú Atus,"['v-pop', 'vietnamese hip hop']"
AnhVu,"['vinahouse', 'vietnamese lo-fi', 'vietnamese hip hop', 'v-pop']"
Anirudh Ravichander,"['kollywood', 'tamil pop', 'tamil dance', 'tollywood', 'tamil hip hop', 'telugu pop']"
Anitta,"['funk', 'latin', 'latin pop', 'pop', 'reggaeton', 'teen pop']"
Anjali 99,['haryanvi pop']
Ankerstjerne,[]
Annalisa,['italo dance']
Anne-Marie,"['alternative r&b', 'dance-pop', 'electronic', 'electropop', 'pop', 'r&b', 'soul']"
AnnenMayKantereit,['german pop']
Annie,['v-pop']
Annika,['dansktop']
Annural Khalid,"['indian indie', 'desi', 'hindi indie', 'desi pop']"
Anson Lo 盧瀚霆,"['cantopop', 'c-pop']"
Ant Wan,[]
Antara Mitra,"['bollywood', 'hindi pop', 'desi']"
Anthony Daasan,"['tamil dance', 'tamil pop', 'kollywood', 'kannada pop', 'tamil hip hop']"
Anthony Keyrouz,['slap house']
Antoneus Maximus,"['vietnamese hip hop', 'vinahouse', 'v-pop']"
Anuel AA,"['reggaeton', 'trap latino', 'urbano latino', 'latin']"
Anurag Kulkarni,"['tollywood', 'telugu pop']"
Anurag Saikia,"['hindi indie', 'bollywood', 'ghazal', 'indian indie', 'hindi pop']"
Anuv Jain,"['indian indie', 'hindi indie', 'hindi pop']"
Anys,"['arabic rap', 'moroccan pop']"
Anıl Emre Daldal,[]
Anıl Piyancı,"['turkish hip hop', 'turkish pop']"
Apache 207,['german hip hop']
Aparshakti Khurana,['bollywood']
Appel,[]
Ara Johari,"['malay', 'malay pop', 'malaysian pop', 'malay rap']"
Arash,['afro house']
Arash Buana,[]
Arcane,"['dark ambient', 'electronic']"
Arcángel,"['reggaeton', 'trap latino', 'urbano latino']"
Arde Bogotá,['indie']
Ardeon,[]
Ardhito Pramono,['indonesian indie']
AreEeEyeDee,[]
Arem Ozguc,"['turkish pop', 'turkish hip hop']"
Ares,"['finnish hip hop', 'finnish pop']"
Ari Abdul,['bedroom pop']
Ariana Grande,['pop']
Ariis,['phonk']
Arijit Singh,"['hindi pop', 'bollywood', 'desi', 'bangla pop']"
Arivu,"['tamil hip hop', 'tamil indie', 'tamil pop', 'tamil dance', 'kollywood', 'malayalam hip hop', 'desi hip hop']"
Arjan Virk,['punjabi pop']
Arko,"['hindi pop', 'bollywood', 'bangla pop', 'desi pop']"
Armaan Malik,"['hindi pop', 'bollywood', 'kannada pop', 'tollywood', 'telugu pop']"
Arman Aydin,"['turkish pop', 'turkish hip hop']"
Arsy Widianto,['indonesian pop']
Artem Tatishchevskiy,['hip hop']
Artemas,"['electropop', 'contemporary r&b', 'hyperpop', 'dark wave']"
Arthur Miguel,"['opm', 'harana', 'p-pop', 'kundiman']"
Arthur Nery,"['opm', 'harana', 'p-pop', 'pinoy r&b', 'kundiman', 'pinoy indie']"
Artie 5ive,['italian trap']
Artigeardit,['dansktop']
Artwork Wa Afrika,[]
Aruma,['indonesian pop']
Arvian Dwi,"['lagu timur', 'malay', 'indonesian pop']"
Asake,"['afrobeats', 'afrobeat', 'afro adura', 'afropop', 'amapiano', 'afroswing']"
Asees Kaur,"['hindi pop', 'bollywood', 'gujarati garba', 'desi']"
Ash,"['alternative rock', 'britpop', 'indie rock', 'pop punk', 'post-britpop', 'power pop']"
Ashin Chen,"['mandopop', 'c-pop', 'taiwanese pop']"
Ashley Kutcher,[]
Asil Gök,['turkish pop']
Asim Azhar,"['desi', 'sufi', 'indian indie']"
Aspasia Stratigou,"['entehno', 'laïko']"
Astrid S,['norwegian pop']
Astro,['k-pop']
At' Fat,"['neo-prog', 'progressive rock']"
Atif Aslam,"['bollywood', 'hindi pop', 'desi', 'sufi', 'qawwali']"
Audiocrackerr,"['hindi hip hop', 'desi hip hop']"
Auer,"['_consistency', 'audio drama', 'audiobook']"
Aurélie,['indonesian indie']
Ava Max,"['dance', 'dance-pop', 'electronic', 'electropop', 'jdanton2', 'los angeles', 'pop', 'sabrinafan', 'usa']"
Aventura,"['bachata', 'bachata pop']"
Averagekidluke,"['finnish hip hop', 'finnish pop']"
Avery Anna,[]
Avin Lu,"['v-pop', 'vietnam indie']"
Avraham Tal,['mizrahi']
Avvy Sra,"['punjabi pop', 'punjabi hip hop', 'bhangra']"
Awdella,"['indonesian pop', 'malay']"
Axolotes Mexicanos,[]
Aya Nakamura,"['pop urbaine', 'french pop']"
Ayase,"['vocaloid', 'j-pop']"
Ayau,"['indie pop', 'r&b']"
Aymos,"['amapiano', 'gqom']"
Ayo Maff,"['afro adura', 'afrobeats', 'afrobeat', 'afropop']"
Ayoub Anbaoui,"['moroccan pop', 'raï', 'arabic rap']"
Ayra Starr,"['afrobeats', 'afrobeat', 'afropop', 'afro soul']"
Ayushmann Khurrana,"['bollywood', 'hindi pop']"
Az Chike,['hyphy']
Azaan Sami Khan,"['desi pop', 'desi', 'qawwali']"
Azana,"['afro soul', 'afropop', 'amapiano', 'gqom', 'afro house']"
Azet,['german hip hop']
Aziz Hedra,['indonesian pop']
B Praak,"['hindi pop', 'desi pop', 'bollywood', 'punjabi pop']"
B Ray,"['vietnamese hip hop', 'v-pop', 'vinahouse', 'vietnam indie']"
B-Wine,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
B.O.C,['v-pop']
B.o.B,"['blues', 'blues rock', 'classic rock', 'contemporary folk', 'country', 'country rock', 'folk', 'folk rock', 'gospel', 'greenwich village scene', 'jazz', 'pop rock', 'rock', 'roots rock', 'singer-songwriter', 'singer/songwriter', 'traditional pop']"
BABY $MOKE,"['vietnamese hip hop', 'v-pop']"
BABYMETAL,"['j-rock', 'metal']"
BABYMONSTER,['k-pop']
BACH\YYY,[]
BAD HOP,"['j-rap', 'hip hop']"
BALLER,[]
BAN,"['v-pop', 'vietnamese hip hop']"
BB Trần,['v-pop']
BCTM,"['vietnamese hip hop', 'v-pop']"
BE:FIRST,['j-pop']
BEAR MUSIC GROUP,['vinahouse']
BEHM,"['finnish pop', 'iskelmä', 'finnish hip hop', 'finnish rock']"
BEJO,['pop rap']
BEN,['v-pop']
BENNETT,['techno']
BHZ,['german hip hop']
BIA,"['east coast hip hop', 'hip hop', 'pop rap']"
BIG KAY SMG,"['punjabi hip hop', 'punjabi pop', 'desi hip hop']"
BIG Naughty,"['k-rap', 'k-ballad']"
BIGBANG,['k-pop']
BILLA JOE,['german hip hop']
BILLY100,"['vietnamese hip hop', 'v-pop']"
BIN,"['j-pop', 'japanese indie', 'j-rock']"
BINHO,['german hip hop']
BINI,"['p-pop', 'opm']"
BJ Lips,"['hyperpop', 'pop']"
BK,"['chinese r&b', 'chinese hip hop']"
BL3SS,[]
BLACKPINK,['k-pop']
BLANCO,"['german', 'schlager']"
BLESS THE GENTLEMAN,"['cologne', 'english', 'german', 'reggae']"
BLESSED MANE,"['phonk', 'drift phonk', 'witch house']"
BLOK3,"['turkish hip hop', 'turkish pop']"
BMZ,"['v-pop', 'vietnamese lo-fi', 'vinahouse', 'vietnam indie']"
BNAT,['v-pop']
BNZO,[]
BOMATELA,"['v-pop', 'vinahouse']"
BOWKYLION,"['thai pop', 't-pop', 'thai indie pop']"
BOYNEXTDOOR,['k-pop']
BP Bounce,['vinahouse']
BRANYA,[]
BRGR,"['pinoy hip hop', 'pinoy r&b', 'opm']"
BROWN,"['v-pop', 'vietnamese hip hop']"
BSS,['k-pop']
BTS,['k-pop']
BUMJIN,['k-ballad']
BUSHIDO ZHO,"['hip hop', 'rap', 'russian rap', 'trap']"
BYOR,[]
Baasik,"['brony', 'brostep', 'edm']"
Babalwa M,"['amapiano', 'gqom']"
Babasonicos,"['argentine rock', 'rock en español', 'latin rock', 'latin alternative']"
Babblarna,['swedish ballads']
Baby Buzz,"['fixme or cleanup', 'special purpose', 'special purpose artist', 'unknown']"
Baby Gang,"['italian trap', 'drill']"
Baby Keem,"['hip hop', 'trap', 'west coast hip hop']"
Baby Melo,[]
Baby Sam,[]
Baby Sleeps,[]
Baby Tate,"['queer', 'rap']"
Babyboy AV,"['afrobeats', 'afrobeat', 'afropop']"
Background White Noise,[]
Baco Exu do Blues,"['brazilian hip hop', 'brazilian trap']"
Bad Bunny,"['reggaeton', 'trap latino', 'latin', 'urbano latino']"
Bad Gyal,['neoperreo']
Bad Omens,"['metalcore', 'metal']"
Badbie,['v-pop']
Badbies,[]
Badshah,"['bollywood', 'desi', 'hindi pop', 'desi hip hop', 'desi pop', 'hindi hip hop', 'punjabi pop']"
Bahaa Sultan,"['egyptian pop', 'khaleeji', 'mahraganat', 'egyptian shaabi']"
Bailey Zimmerman,['country']
Bakermat,['tropical house']
Bakr,[]
Balaniewkor Thangkhiew,"['boom bap', 'chillwave', 'downtempo', 'hip hop', 'instrumental', 'instrumental hip hop', 'lo-fi', 'lo-fi hip hop']"
Ballinciaga,"['russelåter', 'norwegian rap', 'norwegian pop', 'epadunk']"
Balti,"['arabic rap', 'raï', 'moroccan pop']"
Banda MS de Sergio Lizárraga,"['banda', 'norteño', 'grupera', 'música mexicana', 'corrido']"
Bandang Lapis,"['opm', 'p-pop', 'pinoy alternative']"
Bang Di,['v-pop']
Bangers Only,['punk rock']
Bankzitters,[]
Bao-Tich Nguyen,['has german audiobooks']
Barbara Pravi,"['chanson', 'french pop']"
Barney Sku,['bangla pop']
Barré,[]
Basetsana,"['amapiano', 'gqom']"
Bassie,"['amapiano', 'gqom']"
Basta,"['a cappella', 'german']"
Batas Senja,"['indonesian indie', 'indonesian pop']"
Batuflex,"['turkish hip hop', 'drill']"
Batuhan Kordel,['turkish pop']
Bausa,['german hip hop']
Bayaan,"['indian indie', 'hindi indie', 'desi']"
Bayanni,"['afrobeats', 'afrobeat', 'afropop']"
Bazzazian,['german hip hop']
Be.A,"['vietnamese hip hop', 'vietnam indie', 'v-pop']"
Beach Weather,['rock and roll']
Bebe Rexha,"['pop', 'the sims']"
Because,"['pinoy hip hop', 'pinoy r&b', 'opm', 'p-pop']"
Becky G,"['reggaeton', 'latin']"
Bedroom Audio,"['thai rock', 'thai pop', 't-pop']"
BeeBB,['vinahouse']
Beendo Z,[]
BeepBeepChild,"['vietnamese hip hop', 'v-pop', 'vietnam indie']"
Bella,"['fixme or cleanup', 'special purpose', 'special purpose artist', 'unknown']"
Bella Shmurda,"['afro adura', 'afrobeats', 'afrobeat', 'afropop', 'alté', 'afro soul']"
Belters Only,['dance']
Ben Fero,['turkish hip hop']
Ben Mazué,"['french pop', 'variété française', 'chanson', 'french house']"
Ben&Ben,"['opm', 'pinoy indie', 'harana', 'p-pop', 'kundiman']"
Benjamin Hav,['dansktop']
Benjamin Ingrosso,['pop']
Benly,['vietnamese hip hop']
Benny,['v-pop']
Benny Jamz,['dansktop']
Benson Boone,"['pop', 'pop rock']"
Bensoul,"['gengetone', 'rhumba', 'bongo flava', 'afro soul', 'afropop']"
Beny Jr,['drill']
Berkay Altunyay,['turkish pop']
Bernadya,"['indonesian pop', 'indonesian indie']"
Bernice West,[]
Berq,['german pop']
Bert Symoun,"['pinoy hip hop', 'pinoy r&b']"
Betrand Putra Onsu,"['indonesian pop', 'malay']"
Betsy,"['phonk', 'pop']"
Bewegenboog,"[""children's music""]"
Beyoncé,"['2000s', '2010s', '2020s', 'actress', 'adult contemporary', 'american', 'businesswoman', 'contemporary r&b', 'cultural icon', 'dance', 'dance-pop', 'dancer', 'director', 'disco', 'grammy winner', 'hip hop', 'house', 'icon', 'philanthropist', 'pianist', 'pop', 'pop rap', 'pop soul', 'progressive house', 'r&b', 'rap', 'soul', 'vocalist']"
Beyond,"['cantopop', 'chinese rock', 'c-pop', 'mandopop']"
Beéle,['reggaeton']
Bhaskarabhatla,"['telugu pop', 'tollywood']"
Bhavi,"['argentine trap', 'trap']"
Bheems Ceciroleo,"['telugu pop', 'tollywood']"
Bi Quang,"['k-pop', 'singer-songwriter']"
Bi Shady,"['vietnamese hip hop', 'v-pop']"
Bibo,['vinahouse']
Bich Phuong,"['v-pop', 'vietnamese hip hop', 'vietnamese lo-fi', 'vinahouse', 'vietnam indie']"
Bien,"['vietnamese hip hop', 'v-pop']"
Big Baby Tape,[]
Big Daddy,['aln-sh']
Big One,"['argentine trap', 'cuarteto', 'cumbia']"
Big Pat,['german hip hop']
Big Sean,"['detroit hip hop', 'hip hop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap']"
